path,label
58a20c9a06df46da81135a567b670e27.jpg,Texaco
3095bf82cbef4ae2847742527821bec8.jpg,Pepsi
af2f28fb4de74945b4f6073b87c17c4e.jpg,Adidas
641c248fbdba45ba9868a27747ffcce9.jpg,Heineken
446d1c5e86324557b4a7c7aa12f2925e.jpg,Texaco
4f936a1660bb4ed9a99a115575b565f4.jpg,Adidas
44a454959ff14c59a1caa77e4e2a839c.jpg,Adidas
c19058b0b7384f9f98f43dc1714c64a9.jpg,Starbucks
ebb1852a01184201b149ee66bb782b93.jpg,DHL
6e874ddec8144e5bb0ce371fea624eb8.jpg,Cocacola
46cbe8926d814a0d82ae08f98cc4dae6.jpg,Vodafone
a61ac8a228e14fda80d7cb70099cc65e.jpg,Vodafone
5c51fa4002cb4a98bb53392f08e3d9f3.jpg,Adidas
8149ad6ac6f74c728f805f9d718890cf.jpg,Adidas
12e6d10b85dc4df7b89d1f4375071ec9.jpg,Puma
4d61beb67fab4b1db7ec6970bb798e56.jpg,Apple
a944acfa1b5a4c75ac2a149d9899d545.jpg,Nike
da14e49328dd449093ed2f9375003732.jpg,Heineken
f0f390e440cf4b09821d1d3fa649baef.jpg,Nike
c42a8e88cea543f3ae5e89b33e4b933e.jpg,Apple
ceacc870be2f43bab4149be2a5f3d335.jpg,Citroen
2e1fdff0ef634da3a7048b22e6cf5e6f.jpg,Starbucks
da9111c5af314f74877cbb2855f2d29c.jpg,Starbucks
44f592485fcc40adaddad3c9acda8b81.jpg,Pepsi
844e140a1e2f4300a74893f9144af93c.jpg,Intel
20dd25fcffef4a3b8f64d464c7d561b8.jpg,Yahoo
d892c1e2533c4f9e9776a70e556b011a.jpg,Sprite
e019187627ba452dafc6a6dfa2b26927.jpg,Mini
e22b6240f6684e06a0de93665f0a0b15.jpg,Porsche
feb58ca9dc6347f6ab51f0ee50e8c128.jpg,Mini
a7591ddb6ef04693b428378afeb90973.jpg,Heineken
508ab6fe5a15481799503632073d8d78.jpg,Cocacola
5fb6d1fa3f89420ab286c9205ef3191a.jpg,RedBull
f9d11762d0a944719e71ef2f07b86c79.jpg,Ferrari
3ced6f4920844353bba2b51fb29cea03.jpg,Sprite
d004ea16a0aa474c98ffe0d20d387228.jpg,Sprite
1a9eb41806924568959a697ab526decd.jpg,Apple
8a44d5fa65b940d5968ec60023fb75f3.jpg,HP
42a1cba243544c6f9a8747524a9e9250.jpg,Porsche
19a1ede437794b799be641a32143e0e7.jpg,Intel
c3fb3941be4c49799139b459dd1763fa.jpg,Nike
cc92bf9ddf9c42f58efa91aaf559c6b4.jpg,Pepsi
a03e3b0b059a4f869d959c0b486f10fd.jpg,Intel
c6385ffe8b2249bd93620ce694916606.jpg,Starbucks
a4eb13857d294f14ad2a217955b490ca.jpg,Starbucks
1ee6eba369cc4c0bbfbb8432511288a6.jpg,Heineken
3fc12700914044ffba67f91174367104.jpg,Intel
b090a00eb26242719c905921a9412587.jpg,Nbc
19295ac808774a9a8c244734989a82f4.jpg,HP
bd83644ce9074cc3b9351a09497a4a42.jpg,Cocacola
e17a459db629436bb45f47d24a6b3f5f.jpg,Adidas
84ddf319833640cabf229644c5663de3.jpg,Citroen
70f1e2c5e1f7462386d6192579bc186b.jpg,Nike
366dbbcd4f3744599b14f1b23319081e.jpg,Adidas
09921b892d8e4755bfdaef4ffdddd9d9.jpg,RedBull
2f205e9d2dcc4feabeb006d071d46282.jpg,Apple
fb7856be8688463daf8952b6922e3aa5.jpg,BMW
d0a7a274577242fdac7a16cc86e1fea2.jpg,Nbc
0f8778a6a9694abda42b43e10bbedf11.jpg,Vodafone
cd43569f741240519c9e3d13f0937440.jpg,Ford
a615527733f44d658a872e026bb93ed5.jpg,HP
7118907d0eb740cd8298028ffb355119.jpg,Nike
d98d0a21c895499781051f8327bcf96d.jpg,BMW
